"Sale_Year";"Sale_Month";"Total_Orders";"Monthly_Revenue"
2016;9;1;143.46
2016;10;265;46490.66
2016;12;1;19.62
2017;1;750;127482.37
2017;2;1653;271239.32
2017;3;2546;414330.95
2017;4;2303;390812.4
2017;5;3546;566851.4
2017;6;3135;490050.37
2017;7;3872;566299.08
2017;8;4193;645832.36
2017;9;4150;701077.49
2017;10;4478;751117.01
2017;11;7289;1153364.2
2017;12;5513;843078.29
2018;1;7069;1077887.46
2018;2;6555;966168.41
2018;3;7003;1120598.24
2018;4;6798;1132878.93
2018;5;6749;1128774.52
2018;6;6099;1011978.29
2018;7;6159;1027807.28
2018;8;6351;985491.64
